key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
clan_vrrtkin_warpfire_thrower	10	wh2_main_plate_50	2650	inf_ranged	2	inf_mis	clan_vrrtkin_warpfire_thrower	skv1_weapon_team01	wh2_main_skv_infantry_weaponteam	16	16	50	90		0	wh2_main_skv_sword_skavenslaves	clan_vrrtkin_warpgas	3	none	clan_vrrtkin_warpfire_thrower	wh2_main_skv_weaponteam	mob			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	15	vo_sel_skv_Warpfire_Thrower	vo_sel_generic	vo_sel_culture	1.0000	small	0	75	0	0	0	0	0	0	ranged_direct	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_inf_warplock_jezzails	10	wh2_main_plate_50	2650	inf_ranged	2	inf_mis	clan_vrrtkin_inf_warplock_jezzails	skv1_dlc12_weapon_team03	wh2_main_skv_infantry_weaponteam_jezzails	25	50	70	115		0	wh2_main_skv_sword	wh2_dlc12_skv_warp_jezzails	3	wh_missile_block_55_wood	clan_vrrtkin_inf_warplock_jezzails	wh2_main_skv_weaponteam_jezzails	mob			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	160	160	15	vo_sel_skv_Warplock_Jezzails	vo_sel_generic	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged_direct	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_inf_cutthroats	10	wh2_main_leather_25	2650	inf_melee	30	inf_mel	clan_vrrtkin_inf_cutthroats	hu17_skaven_dual_sword	wh2_main_skv_infantry_plague_monk	70	18	73	72		0	clan_vrr_cutthroats_dual_swords	clan_vrrtkin_cutthroat	4	none	clan_vrrtkin_inf_cutthroats	wh_main_infantry_rabble	well_trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Poison_Wind_Globadiers	vo_sel_generic	vo_sel_culture	1.0000	small	0	1	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_inf_turntails_ror	10	wh2_main_heavy_metal_80	2650	inf_melee	10	inf_mel	clan_vrrtkin_inf_turntails_ror	hu17_skaven_sword_and_shield	wh2_main_skv_infantry	45	50	39	72		0	clan_vrrtkin_skv_sword		8	wh_missile_block_55_wood	clan_vrrtkin_inf_turntails_ror	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Clanrats	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_mon_hell_pit_abomination	10	wh2_main_body_50	2650	inf_melee	25	inf_mel	clan_vrrtkin_mon_hell_pit_abomination	hc5_skv_hell_pit	wh2_main_skv_monster_hell_pit_abomination	80	40	90	15000		0	wh2_main_skv_hell_pit_abomination		1	none	clan_vrrtkin_mon_hell_pit_abomination	wh_main_monster	elite			true	40.0000	1500.0000	bonebreaker	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_ratogres_ror	10	wh2_main_heavy_metal_90	2650	war_beast	60	cav_shk	clan_vrrtkin_ratogres_ror	hu17_skaven_warlord_hu18_rat_ogre_drill	wh2_main_skv_infantry_heavy	65	34	80	480	wh2_main_skv_mnt_bonebreaker	12	clan_vrr_ratogre_halberd		3	none	clan_vrrtkin_ratogres_ror	wh_main_monstrous_infantry_chaotic	well_trained			true	40.0000	1500.0000	wh2_dlc16_skv_mon_rat_ogres_ror_0	60	80	10	vo_sel_skv_Stormvermin	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_cav		
clan_vrrtkin_clanrat_shield_sum	10	wh2_main_leather_25	2650	inf_melee	15	inf_mel	clan_vrrtkin_clanrat_shield	hu17_skaven_sword_and_globe	wh2_main_skv_infantry	35	38	68	72		0	clan_vrrtkin_skv_sword	clan_vrrtkin_poison_globe	6	none	clan_vrrtkin_clanrat_shield	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Clanrats	vo_sel_generic	vo_sel_culture	0.8000	small	0	1	0	0	0	0	0	0	melee	false	true	false	false	cant_capture	cant_capture	cant_capture		
clan_vrrtkin_mortar	10	wh2_main_leather_20	2650	artillery	10	art_fld	clan_vrrtkin_mortar	hu17_skaven_sword	wh2_main_skv_infantry	50	2	50	40		0	wh2_main_skv_sword		2	none	clan_vrrtkin_mortar	wh_main_artillery_small	mob		clan_vrrtkin_mortar_engine	true	40.0000	1500.0000	wh2_main_skv_art_plagueclaw_catapult	60	80	10	vo_sel_skv_Warpfire_Lightning_Cannon	vo_sel_generic	vo_sel_culture	1.0000	small	0	32	0	0	3	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_gasthrower	10	wh2_main_leather_30	2650	artillery	2	art_fld	clan_vrrtkin_gasthrower	hu17_skaven_sword	wh2_main_skv_infantry	16	30	50	115		0	wh2_main_skv_sword		3	none	clan_vrrtkin_gasthrower	wh_main_artillery	elite		clan_vrrtkin_gasthrower_engine	true	40.0000	1500.0000	wh2_main_skv_art_plagueclaw_catapult	60	80	10	vo_sel_skv_Warpfire_Lightning_Cannon	vo_sel_generic	vo_sel_culture	1.0000	small	0	270	0	0	3	0	0	0	ranged_direct	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_globeclaw_catapult	5	wh2_main_leather_30	2650	artillery	22	art_fld	clan_vrrtkin_globeclaw_catapult	hu17_skaven_sword	wh2_main_skv_infantry	70	30	54	43		0	wh2_main_skv_sword		4	none	clan_vrrtkin_globeclaw_catapult	wh_main_artillery	elite		clan_vrrtkin_globeclaw_catapult_engine	true	40.0000	1500.0000	wh2_main_skv_art_plagueclaw_catapult	60	80	10	vo_sel_skv_Plagueclaw_Catapult	vo_sel_generic	vo_sel_culture	1.0000	small	0	40	0	0	3	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_veh_doomwheel	10	wh2_main_heavy_metal_100	2650	war_machine	50	chariot	clan_vrrtkin_veh_doomwheel	wm_doomwheel_warp_lightning01	wh2_main_skv_infantry	60	25	70	6000		0	wh2_main_skv_doomwheel		1	none	clan_vrrtkin_veh_doomwheel	wh_main_artillery	elite		clan_vrrtkin_veh_doomwheel	true	40.0000	1500.0000	clan_vrrtkin_veh_doomwheel	60	80	10	vo_sel_skv_Doomwheel	vo_sel_generic	vo_sel_culture	1.0000	large	0	52	0	0	1	0	0	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_veh_doom_flayer	10	wh2_main_chainmail_70	2650	war_machine	40	chariot	clan_vrrtkin_veh_doom_flayer	hu17_dlc12_skaven_doomflayer_driver_01	wh2_main_skv_infantry	74	54	80	1100		0	wh2_dlc12_skv_doom_flayer		1	none	clan_vrrtkin_veh_doom_flayer	wh_main_chariot	trained		clan_vrrtkin_veh_doom_flayer	true	40.0000	1500.0000		60	80	0	vo_sel_skv_Doom_Flayer	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	4	0	0	0	melee_cav_shock	false	false	false	false	medium	medium	domination_cav		
clan_vrrtkin_art_poison_wind_mortar	10	wh2_main_plate_50	2650	inf_ranged	2	inf_mis	clan_vrrtkin_art_poison_wind_mortar	skv2_dlc14_weapon_team_mortar01	wh2_dlc14_skv_infantry_weaponteam_mortar	14	16	50	320		0	wh2_dlc14_skv_claw	clan_vrrtkin_poison_wind_mortar	2	none	clan_vrrtkin_art_poison_wind_mortar	wh2_main_skv_weaponteam_mortars	mob			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	10	vo_sel_skv_Poisoned_Wind_Mortar	vo_sel_generic	vo_sel_culture	1.0000	small	0	32	0	0	0	0	0	0	ranged_indirect_arty	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_art_poison_wind_mortar_ror	10	wh2_main_plate_50	2650	inf_ranged	2	inf_mis	clan_vrrtkin_art_poison_wind_mortar_ror	skv2_dlc14_weapon_team_mortar01	wh2_dlc14_skv_infantry_weaponteam_mortar_ror	19	22	60	320		0	wh2_dlc14_skv_claw	clan_vrrtkin_poison_wind_mortar_ror	2	none	clan_vrrtkin_art_poison_wind_mortar_ror	wh2_main_skv_weaponteam_mortars	mob			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	25	vo_sel_skv_Poisoned_Wind_Mortar	vo_sel_generic	vo_sel_culture	1.0000	small	0	15	0	0	0	0	0	0	ranged_indirect_arty	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_lord_trikstab	10	wh2_main_heavy_metal_110	2650	inf_ranged	12	com	unit_short_text_trikstab_gribnode	hu17_skaven_halberd_and_doomfire_rocket	trikstab_gribnode	70	65	65	2300		0	trikstab_weapon_melee	trikstab_globe	1	none	unit_short_text_trikstab_gribnode	wh_main_infantry	elite			true	40.0000	1500.0000	wh2_main_skv_cha_queek_headtaker	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	20	10	10	0	0	15	0	ranged_highvalue	false	true	false	false	medium	medium	domination_characters		
clan_vrrtkin_masterglobe	10	wh2_main_heavy_metal_110	2650	inf_ranged	10	com	clan_vrrtkin_masterglobe	hu17_skaven_sword_and_globe	clan_vrrtkin_masterglobe	65	50	50	2300		0	globemaster_melee_weapon	trikstab_globe	1	none	clan_vrrtkin_masterglobe	wh_main_infantry	elite			true	40.0000	1500.0000	wh2_main_skv_cha_queek_headtaker	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	15	0	0	0	0	15	0	hybrid_highvalue	false	true	false	false	medium	medium	domination_characters		
clan_vrrtkin_ratogres	10	wh2_main_body_30	2650	inf_melee	50	inf_mel	clan_vrrtkin_ratogres	hu18_rat_ogre_claws	wh2_main_skv_monster_rat_ogre	45	28	70	480		0	wh2_main_skv_rat_ogre		3	none	clan_vrrtkin_ratogres	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	wh2_main_skv_mon_rat_ogres	60	80	0	vo_sel_default	vo_sel_default	vo_sel_default	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_skv_inf_warp_grinder	0	wh2_main_heavy_metal_70	2650	inf_melee	8	inf_mel	clan_vrrtkin_skv_inf_warp_grinder	skv1_dlc14_weapon_team_grinder01	wh2_dlc14_skv_infantry_weaponteam_warp_grinder	55	35	70	130		0	wh2_dlc14_skv_warp_grinder		2	none	clan_vrrtkin_skv_inf_warp_grinder	wh2_main_skv_weaponteam_grinders	trained			true	40.0000	1500.0000	wh2_dlc14_skv_inf_warp_grinder_0	60	80	0	vo_sel_skv_Warp_Grinder	vo_sel_generic	vo_sel_culture	0.9000	small	0	0	0	0	0	0	0	0	melee_gatecrusher_highvalue	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_gas_monks_censer	10	wh2_main_body_10	2650	inf_melee	60	inf_mel	clan_vrrtkin_gas_monks_censer	hu17_skaven_monk_censer	wh2_main_skv_infantry_plague_monk_censer	85	30	95	72		0	clan_vrrtkin_skv_censer		6	none	clan_vrrtkin_gas_monks_censer	wh2_main_inf_chaotic_formation_loose	well_trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Plague_Monk_Censer_Bearers	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	13	26	0	melee	false	true	false	false	medium	medium	domination_infantry		
