unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
bc_stinking_thing		-1	hero	1	false	bc_stinking_thing	1	2	625	wh_main_shp_transport	1	1	1	1100	275	medium		0	791921564	true	wh2_main_vo_culture_Skaven	wh2_dlc16_skv_chieftain	0	true	skv_clan_rats		true		625.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_dlc16_vo_actor_Skaven_Chieftan	0	true	false	2	false	false		0.0000	true	1	false
bc_plague_pontifex		-1	lord	1	false	bc_plague_pontifex	1	0	600	wh_main_shp_transport	1	1	1	1100	275	medium		0	791921565	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats		true		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Grey_Seer	0	true	false	0	false	false		0.0000	true	1	false
bc_festering_chantor		-1	hero	1	false	bc_festering_chantor	1	2	300	wh_main_shp_transport	1	1	1	1100	275	medium		0	791921566	true	wh2_main_vo_culture_Skaven	wh2_main_wizard_plague	0	true	skv_clan_rats		true		300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Plague_Priest	0	true	false	2	false	false		0.0000	true	1	false
bc_plague_lord		-1	lord	1	false	bc_plague_lord	1	0	650	wh_main_shp_transport	1	1	1	800	300	medium		0	791921567	true	wh2_main_vo_culture_Skaven	lord_infantry_axe	0	true	skv_clan_rats		true		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	0	false	false		0.0000	true	1	false
bc_nurglitch		-1	lord	1	false	bc_nurglitch	1	0	1400	wh_main_shp_transport	1	1	1	1400	350	medium		0	791621569	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats		true		1400.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Lord_Skrolk	0	true	false	0	false	false		0.0000	true	1	false
bc_plague_pontifex_cauldron		-1	lord	1	false	bc_plague_pontifex_cauldron	2	0	1400	wh_main_shp_transport	1	1	2	1400	325	medium		0	791621568	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats	bc_cauldron	true		1400.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Grey_Seer	0	true	false	0	false	false		0.0000	true	1	false
bc_nurglitch_mount		-1	lord	1	false	bc_nurglitch_mount	1	0	2200	wh_main_shp_transport	1	1	1	2200	500	medium		0	791621570	false	wh2_main_vo_culture_Skaven	lord_infantry_axe	4	true	skv_clan_rats	wh2_dlc16_cam_mnt_skv_brood_horror	true		2200.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Lord_Skrolk	0	true	false	2	false	false		0.0000	true	1	false
bc_pusbags_flail_ror		1	melee_infantry	1	false	bc_pusbags_flail_ror	180	1	350	wh_main_shp_transport	1	1	180	350	88	medium		0	791621571	true	wh2_main_vo_culture_Skaven	wh_dlc04_emp_flagelllents	1	false	skv_clan_rats		false		350.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_rat_spawn_ror		1	monstrous_infantry	1	false	bc_rat_spawn_ror	12	1	1600	wh_main_shp_transport	1	1	12	1600	400	medium		0	791621572	true	wh2_main_vo_culture_Rat_Ogres	monstrous_infantry	5	false	skv_rat_ogres		false		1600.0000	0.0000	true	wh2_main_vo_culture_Rat_Ogres	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
bc_mad_rat_ogres_ror		1	monstrous_infantry	1	false	bc_mad_rat_ogres_ror	16	1	1350	wh_main_shp_transport	1	1	16	1350	338	medium		0	791921573	true	wh2_main_vo_culture_Rat_Ogres	monstrous_infantry	4	false	skv_rat_ogres		false		1350.0000	0.0000	true	wh2_main_vo_culture_Rat_Ogres	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
bc_rotten_rodent_dual_ror		1	melee_infantry	1	false	bc_rotten_rodent_dual_ror	160	1	600	wh_main_shp_transport	1	1	160	600	150	medium		0	791921574	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	2	false	skv_clan_rats		false		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_frothing_giant_rats_ror		1	war_beast	1	false	bc_frothing_giant_rats_ror	80	1	850	wh_main_shp_transport	1	0	80	850	212	medium		0	791921575	true	wh2_dlc16_vo_culture_Wolf_Rat	war_beast	2	false	skv_wolf_rats		false		850.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
bc_plague_lord_mount		-1	lord	1	false	bc_plague_lord_mount	1	0	1350	wh_main_shp_transport	1	1	1	1350	350	medium		0	791921576	true	wh2_main_vo_culture_Skaven	lord_infantry_axe	4	true	skv_clan_rats	wh2_dlc16_cam_mnt_skv_brood_horror	true		1350.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	2	false	false		0.0000	true	1	false
bc_the_hidden		-1	lord	1	false	bc_the_hidden	1	0	1600	wh_main_shp_transport	1	1	1	1600	0	heavy		0	791921577	true	wh2_main_vo_culture_Skaven	wh2_dlc16_skv_ghoritch	0	true	skv_rat_ogres		true		1600.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh_main_vo_actor_default	0	true	true	0	false	false		0.0000	true	1	false
bc_ror_creeping_death		1	melee_infantry	2	false	bc_ror_creeping_death	120	1	1300	wh_main_shp_transport	1	1	100	1300	325	medium		0	791921669	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_censer	4	false	skv_plague_monks		false		1300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Plague_Monk	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_bilekin		1	melee_infantry	1	false	bc_ror_bilekin	120	1	1050	wh_main_shp_transport	1	1	100	1050	262	medium		0	791921670	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	3	false	skv_plague_monks		false		1050.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Plague_Monk	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_chained_ones		1	melee_infantry	1	false	bc_ror_chained_ones	180	1	300	wh_main_shp_transport	1	1	180	300	75	medium		0	791921671	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_slimeblades		1	melee_infantry	1	false	bc_ror_slimeblades	160	1	500	wh_main_shp_transport	1	1	160	500	125	medium		0	791921672	true	wh2_main_vo_culture_Skaven	infantry_sword	3	false	skv_clan_rats		false		500.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_virulent_batteries		1	warmachine	2	false	bc_ror_virulent_batteries	56	1	1250	wh_main_shp_transport	1	1	56	1250	312	medium		0	791921673	true	wh2_main_vo_culture_Skaven	catapult	2	false	skv_clan_rats		false		1250.0000	810.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_plaguevermin		1	melee_infantry	2	false	bc_ror_plaguevermin	160	1	1350	wh_main_shp_transport	1	1	160	1350	337	medium		0	791921668	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	4	false	skv_clan_rats		false		1350.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_dlc12_vo_actor_Skaven_Vocalisation_Orders	0	true	false	1	false	false		0.0000	true	1	true
bc_septik_plaguevermin		-1	melee_infantry	2	false	bc_septik_plaguevermin	160	0	1000	wh_main_shp_transport	1	1	160	1000	250	medium		0	791921674	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	3	false	skv_clan_rats		false		1000.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_pontifex_sitch		-1	lord	1	false	str_pontifex_sitch	1	0	650	wh_main_shp_transport	1	1	1	800	300	medium		0	791921675	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats		true		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	0	false	false		0.0000	true	1	false
str_skittice		-1	lord	1	false	str_skittice	1	0	600	wh_main_shp_transport	1	1	1	1100	275	medium		0	791921676	true	wh2_main_vo_culture_Skaven	lord_halberd	0	true	skv_clan_rats		true		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Grey_Seer	0	true	false	0	false	false		0.0000	true	1	false
bc_septik_ror_rustblades		1	melee_infantry	2	false	bc_septik_ror_rustblades	160	0	1450	wh_main_shp_transport	1	1	160	1450	363	medium		0	791921677	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_sword_stormvermin	3	false	skv_clan_rats		false		1450.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
str_pontifex_sitch_mount		-1	lord	1	false	str_pontifex_sitch_mount	1	0	1400	wh_main_shp_transport	1	1	1	1150	300	medium		0	791921678	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats	wh2_main_cam_mnt_skv_bonebreaker	true		1000.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	0	false	false		0.0000	true	1	false
str_poxtooth		-1	lord	1	false	str_poxtooth	1	0	650	wh_main_shp_transport	1	1	1	800	300	medium		0	791921679	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats		true		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	0	false	false		0.0000	true	1	false
str_poxtooth_mount		-1	lord	1	false	str_poxtooth_mount	2	0	1400	wh_main_shp_transport	1	1	2	1400	325	medium		0	791921680	true	wh2_main_vo_culture_Skaven	wh2_main_lord_wizard_plague	0	true	skv_clan_rats	bc_cauldron	true		1400.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Grey_Seer	0	true	false	0	false	false		0.0000	true	1	false
str_pox_rat		-1	monster	1	false	str_pox_rat	1	6	900	wh_main_shp_transport	1	1	1	900	225	medium		0	791921681	true	wh2_dlc16_vo_culture_Brood_Horror	wh2_dlc16_skv_brood_horror	3	true	skv_brood_horror		true		900.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	0	false	false		0.0000	true	1	false
str_skittice_mount		-1	lord	1	false	str_skittice_mount	1	0	1250	wh_main_shp_transport	1	1	1	1250	313	medium		0	791921682	false	wh2_main_vo_culture_Skaven	wh2_dlc16_skv_brood_horror	4	true	skv_clan_rats	wh2_dlc16_cam_mnt_skv_brood_horror	true		1250.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	2	false	false		0.0000	false	1	false
str_skittice_sum_rustblade		1	melee_infantry	2	false	str_skittice_sum_rustblade	80	0	1450	wh_main_shp_transport	1	1	160	1450	363	medium		0	791921683	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_sword_stormvermin	3	false	skv_clan_rats		false		1450.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_gangrous_vermin		0	melee_infantry	1	false	str_gangrous_vermin	120	0	1100	wh_main_shp_transport	1	1	120	1100	275	medium		0	791921684	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	2	false	skv_clan_rats		false		1100.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_gangrous_szik		1	lord	1	false	str_gangrous_szik	1	0	1400	wh_main_shp_transport	1	1	1	1400	350	medium		0	791921685	true	wh2_main_vo_culture_Skaven	str_lord_dual_swords	0	true	skv_clan_rats		true		1400.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Warlord	0	true	false	0	false	false		0.0000	true	1	false
str_gangrous_clanrats		0	melee_infantry	1	false	str_gangrous_clanrats	120	0	750	wh_main_shp_transport	1	1	120	750	187	medium		0	791921686	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_sword_stormvermin	2	false	skv_clan_rats		false		750.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_gangrous_vermin_ror		1	melee_infantry	1	false	str_gangrous_vermin_ror	120	1	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	791921687	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	2	false	skv_clan_rats		false		1500.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
